"service_id","date","exception_type"
"GO403_1214","20130123","1"
"GO403_1214","20130124","1"
"GO403_1214","20130125","1"
"GO403_1214","20130128","1"
"GO403_1214","20130129","1"
"GO403_1214","20130130","1"
"GO403_1214","20130131","1"
"GO403_1214","20130201","1"
"GO403_1214","20130204","1"
"GO403_1214","20130205","1"
"GO403_1214","20130206","1"
"GO403_1214","20130207","1"
"GO403_1214","20130208","1"
"GO403_1214","20130211","1"
"GO403_1214","20130212","1"
"GO403_1214","20130213","1"
"GO403_1214","20130214","1"
"GO403_1214","20130215","1"
"GO403_1214","20130219","1"
"GO403_1214","20130220","1"
"GO403_1214","20130221","1"
"GO403_1214","20130222","1"
"GO403_1214","20130225","1"
"GO403_1214","20130226","1"
"GO403_1214","20130227","1"
"GO403_1214","20130228","1"
"GO403_1214","20130301","1"
"GO403_1215","20121117","1"
"GO403_1215","20121118","1"
"GO403_1215","20121122","1"
"GO403_1215","20121124","1"
"GO403_1215","20121125","1"
"GO403_1215","20121201","1"
"GO403_1215","20121202","1"
"GO403_1215","20121208","1"
"GO403_1215","20121209","1"
"GO403_1215","20121215","1"
"GO403_1215","20121216","1"
"GO403_1215","20121222","1"
"GO403_1215","20121223","1"
"GO403_1215","20121225","1"
"GO403_1215","20121229","1"
"GO403_1215","20121230","1"
"GO403_1215","20130101","1"
"GO403_1215","20130105","1"
"GO403_1215","20130106","1"
"GO403_1215","20130112","1"
"GO403_1215","20130113","1"
"GO403_1215","20130119","1"
"GO403_1215","20130120","1"
"GO403_1215","20130121","1"
"GO403_1215","20130126","1"
"GO403_1215","20130127","1"
"GO403_1215","20130202","1"
"GO403_1215","20130203","1"
"GO403_1215","20130209","1"
"GO403_1215","20130210","1"
"GO403_1215","20130216","1"
"GO403_1215","20130217","1"
"GO403_1215","20130218","1"
"GO403_1215","20130223","1"
"GO403_1215","20130224","1"
"GO403_1215","20130302","1"
"GO403_1215","20130303","1"
"GO403_1216","20121117","1"
"GO403_1216","20121122","1"
"GO403_1216","20121124","1"
"GO403_1216","20121201","1"
"GO403_1216","20121208","1"
"GO403_1216","20121215","1"
"GO403_1216","20121222","1"
"GO403_1216","20121225","1"
"GO403_1216","20121229","1"
"GO403_1216","20130101","1"
"GO403_1216","20130105","1"
"GO403_1216","20130112","1"
"GO403_1216","20130119","1"
"GO403_1216","20130126","1"
"GO403_1216","20130202","1"
"GO403_1216","20130209","1"
"GO403_1216","20130216","1"
"GO403_1216","20130223","1"
"GO403_1216","20130302","1"
"GO403_1217","20121118","1"
"GO403_1217","20121122","1"
"GO403_1217","20121125","1"
"GO403_1217","20121202","1"
"GO403_1217","20121209","1"
"GO403_1217","20121216","1"
"GO403_1217","20121223","1"
"GO403_1217","20121225","1"
"GO403_1217","20121230","1"
"GO403_1217","20130101","1"
"GO403_1217","20130106","1"
"GO403_1217","20130113","1"
"GO403_1217","20130121","1"
"GO403_1217","20130127","1"
"GO403_1217","20130203","1"
"GO403_1217","20130210","1"
"GO403_1217","20130218","1"
"GO403_1217","20130224","1"
"GO403_1217","20130303","1"
"GO403_1218","20121112","1"
"GO403_1218","20121113","1"
"GO403_1218","20121114","1"
"GO403_1218","20121115","1"
"GO403_1218","20121116","1"
"GO403_1218","20121119","1"
"GO403_1218","20121120","1"
"GO403_1218","20121121","1"
"GO403_1218","20121122","1"
"GO403_1218","20121123","1"
"GO403_1218","20121126","1"
